"Name","Level","Age","RW hits Average","Total","Speed","Strength","Defense","Dexterity","Spy Date","Xanax Total","Xanax Avg","Total Time Active","Time Active Raw","TIme Active Recent","Time Active Recent Raw","Refill Total","Refill Diff"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=239"", ""CertaCito [239]"")","100","6938","0","","","","","","undefined","5,558","2","232 days ","20046482","22 hours 28 minutes ","80919","1,865","27"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=13541"", ""ZeeAreRA [13541]"")","100","6850","0","","","","","","undefined","75","0","88 days 11 hours ","7642896","1 day 22 hours ","167528","2,244","31"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=30453"", ""Edwingi [30453]"")","100","6811","0","4719399483","1716890810","1550268302","685531404","766708967","2017-06-17T22:00:00.000Z","7,430","1.83","58 days 14 hours ","5064360","14 hours 1 minute ","50516","3,887","28"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=46937"", ""Pampa [46937]"")","100","6780","0","19193505","6023133","10131831","2934091","104450","2014-02-20T23:00:00.000Z","3,659","2.33","58 days 22 hours ","5093240","1 day 23 hours ","170653","1,309","29"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=75049"", ""tie_dyed1 [75049]"")","100","6726","0","2890678896","637081411","638612497","975473629","639511359","2020-01-15T23:00:00.000Z","6,411","2.13","240 days 10 hours ","20772352","23 hours 54 minutes ","86046","1,042","15"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=84649"", ""un42n8 [84649]"")","100","6714","0","4551501890","1001636788","1002504981","1750121602","797238519","2022-09-26T22:00:00.000Z","4,119","1.9","149 days 15 hours ","12929841","16 hours 33 minutes ","59593","1,956","23"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=185930"", ""Vatch [185930]"")","100","6587","0","2886200251","1000084105","1008199505","","326261494","2014-06-14T22:00:00.000Z","8,098","1.6","43 days 23 hours ","3799126","9 hours ","32439","5,028","31"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=297786"", ""SR- [297786]"")","100","6392","0","","","","","","undefined","5,579","1.2","78 days 10 hours ","6776046","12 hours 37 minutes ","45476","3,186","29"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=449998"", ""Zmobie [449998]"")","100","6044","0","","","","","","undefined","2,973","2.6","96 days 18 hours ","8360199","3 days 2 hours ","268855","1,334","31"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=502415"", ""ChalkOutline [502415]"")","80","5952","0","879117096","336814803","337498448","203888686","915159","2023-02-24T23:00:00.000Z","2,009","2.83","72 days 13 hours ","6268458","3 days 1 hour ","263222","912","25"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=550104"", ""SexySugaKong559 [550104]"")","93","5911","0","1805168547","422394283","538739482","421540366","422494416","2020-01-18T23:00:00.000Z","2,806","0","190 days 6 hours ","16437838","Inactive","0","897","0"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=585152"", ""jamm [585152]"")","87","5846","0","","","","","","undefined","2,568","2.13","33 days 8 hours ","2880205","15 hours 1 minute ","54097","667","24"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=608433"", ""BabyDolll [608433]"")","88","5813","0","","","","","","undefined","851","2.93","28 days 22 hours ","2501415","3 days 5 hours ","277300","510","29"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=796778"", ""MrSo [796778]"")","100","5689","0","","","","","","undefined","3,381","1.53","81 days 13 hours ","7048725","1 day 2 hours ","96640","2,228","31"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=955461"", ""SyDySTiK [955461]"")","98","5539","0","","","","","","undefined","7,458","2.2","158 days 5 hours ","13672386","1 day 11 hours ","127204","2,909","27"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=1326199"", ""Shoop [1326199]"")","100","5165","0","","400554465","400550662","","","2022-03-21T23:00:00.000Z","3,121","2.07","128 days 15 hours ","11113335","2 days 16 hours ","232883","1,578","30"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=1600795"", ""Bracky [1600795]"")","100","4362","0","","","","","","undefined","3,396","2.57","311 days 10 hours ","26909105","7 days 17 hours ","667554","1,406","31"
